ID,RA_J2000,DEC_J2000,V,B-V,Teff,A(Li)
5123,132.67453,11.61483,12.647,0.685,5713,<1.37
5041,132.64307,11.66580,12.629,0.594,6047,<1.50
5042,132.64119,11.77392,12.856,0.531,6292,2.62
5118,132.66988,11.79610,12.818,0.521,6331,2.31
5061,132.65271,11.81544,13.025,0.574,6123,2.26
5191,132.69851,11.74733,12.700,0.482,6490,<2.22
5228,132.70811,11.82027,12.931,0.851,5227,<0.77
5362,132.75447,11.83643,12.725,0.739,5525,<1.37
5284,132.72659,11.94134,12.844,0.522,6327,<1.75
5219,132.70275,12.00243,12.797,0.553,6205,2.21
5675,132.83399,11.77831,12.755,0.559,6181,1.98
5562,132.81163,11.79006,12.805,0.572,6131,2.30
5644,132.82737,11.82270,12.647,0.608,5994,<1.55
5573,132.81406,11.83739,12.823,0.565,6158,2.21
5825,132.86439,11.89076,12.756,0.592,6054,2.00
6076,132.92490,11.72707,12.69,0.564,6162,1.75
6107,132.93353,11.77351,12.75,0.758,5470,<1.01
5993,132.90023,11.77605,12.722,0.683,5720,2.47
6177,132.95829,11.82540,12.647,0.581,6096,<1.49
6077,132.92196,11.90817,12.76,0.580,6100,1.90
5996,132.89769,11.96578,12.826,0.775,5423,<1.10
6408,133.04736,11.76044,12.889,0.817,5313,<0.81
6224,132.97245,11.80585,12.705,0.575,6120,1.51
6313,132.99856,11.88273,12.79,0.584,6085,2.49
5951,132.88859,11.81431,12.767,0.577,6112,<1.39
